10041;Regionalverband Saarbrücken;326638;325978;325604;327380;329593
10042;Merzig-Wadern;103520;103135;102987;103997;103908
10043;Neunkirchen;134099;133222;133021;133735;133984
10044;Saarlouis;196611;195976;195632;197009;196609
10045;Saarpfalz-Kreis;144291;143851;143532;144584;144100
10046;Sankt Wendel;89128;88556;88259;88892;88457
11000;Berlin;3375222;3421829;3469849;3520031;3574830
12051;Brandenburg an der Havel;71149;71032;71032;71574;71664
12052;Cottbus;99913;99595;99491;99687;100416
12053;Frankfurt (Oder);58537;58018;57649;58092;58193
12054;Potsdam;159456;161468;164042;167745;171810
12060;Barnim;173193;173754;174981;177411;179365
12061;Dahme-Spreewald;160314;160793;161952;164528;166074
12062;Elbe-Elster;107649;106157;104997;104673;104397
12063;Havelland;153294;153874;155408;158236;159685
12064;Märkisch-Oderland;186925;187668;188422;190714;191685
12065;Oberhavel;202162;203012;204898;207524;208639
12066;Oberspreewald-Lausitz;115212;113842;112896;112450;111962
12067;Oder-Spree;177047;176850;177823;182397;178849
12068;Ostprignitz-Ruppin;99125;98944;98886;99110;99414
12069;Potsdam-Mittelmark;204388;205520;207498;210910;212207
12070;Prignitz;78799;77993;77550;77573;77813
12071;Spree-Neiße;120178;118899;118030;117635;116826
12072;Teltow-Fläming;159686;160448;161488;163553;164771
12073;Uckermark;122484;121326;120829;121014;120878
13001;Greifswald;-;-;-;-;-
13002;Neubrandenburg;-;-;-;-;-
13003;Rostock;202887;203431;204167;206011;207513
13004;Schwerin;91264;91583;92138;96800;95668
13005;Stralsund;-;-;-;-;-
13006;Wismar;-;-;-;-;-
13051;Bad Doberan;-;-;-;-;-
13052;Demmin;-;-;-;-;-
13053;Güstrow;-;-;-;-;-
13054;Ludwigslust;-;-;-;-;-
13055;Mecklenburg-Strelitz;-;-;-;-;-
13056;Müritz;-;-;-;-;-
13057;Nordvorpommern;-;-;-;-;-
13058;Nordwestmecklenburg;-;-;-;-;-
13059;Ostvorpommern;-;-;-;-;-
13060;Parchim;-;-;-;-;-
13061;Rügen;-;-;-;-;-
13062;Uecker-Randow;-;-;-;-;-
13071;Mecklenburgische Seenplatte;264261;262412;261733;262517;261816
